policy,seed,benefit,completed_tasks,completion_rate,relevant_completion_rate,average_response_time,makespan,flight_time,failures,invalid_actions,steps
Greedy online,64,0.5358457451870844,6,1.0,0.6666666666666666,11.0,57.0,34.43786187873194,0,0,16
PPO,64,0.5358457451870844,6,1.0,0.6666666666666666,10.833333333333334,57.0,34.356704804789906,0,0,15
Greedy online,65,0.7308222797644682,6,1.0,1.0,10.0,55.0,32.35341667903387,0,0,16
PPO,65,0.7052169142107916,6,1.0,0.8333333333333334,10.666666666666666,55.0,32.78340175999909,0,0,15
Greedy online,66,0.815861574261587,6,1.0,0.8333333333333334,12.166666666666666,62.0,35.65395506059971,0,0,15
PPO,66,0.815861574261587,6,1.0,0.8333333333333334,12.166666666666666,62.0,35.65395506059971,0,0,15
Greedy online,67,0.7390707560023632,6,1.0,0.6666666666666666,10.5,61.0,34.32181294239997,0,0,16
PPO,67,0.7413552980454252,6,1.0,0.6666666666666666,10.333333333333334,60.0,33.90259925045164,0,0,16
Greedy online,68,0.6312716736095422,6,1.0,0.6666666666666666,10.666666666666666,63.0,32.949919420190774,0,0,16
PPO,68,0.6377402614870696,6,1.0,0.6666666666666666,9.666666666666666,57.0,35.38347037954969,0,0,17
Greedy online,69,0.8463624941097018,6,1.0,1.0,12.166666666666666,53.0,32.68314659351941,0,0,16
PPO,69,0.8704380948107104,6,1.0,1.0,12.166666666666666,58.0,35.53297063116562,2,0,17
Greedy online,70,0.7247337622179251,6,1.0,0.8333333333333334,15.833333333333334,50.0,28.586905525103294,1,0,16
PPO,70,0.777393037235172,6,1.0,1.0,18.833333333333332,60.0,28.566376080532013,1,0,17
Greedy online,71,0.800150848956379,6,1.0,0.6666666666666666,13.833333333333334,54.0,30.143669274102624,0,0,15
PPO,71,0.9151641704794647,6,1.0,0.8333333333333334,13.833333333333334,53.0,25.71050004966928,0,0,13
Greedy online,72,0.7786805537284849,6,1.0,0.8333333333333334,9.833333333333334,61.0,35.781548336066635,0,0,16
PPO,72,0.7786805537284849,6,1.0,0.8333333333333334,9.833333333333334,61.0,35.781548336066635,0,0,16
Greedy online,73,0.6969669517524847,6,1.0,0.8333333333333334,14.833333333333334,53.0,31.188079477835846,1,0,15
PPO,73,0.8350712354709156,6,1.0,0.8333333333333334,13.166666666666666,49.0,32.061475385013054,0,0,15
Greedy online,74,0.6503085768392597,6,1.0,0.6666666666666666,14.666666666666666,65.0,31.715013159267354,0,0,14
PPO,74,0.6503085768392597,6,1.0,0.6666666666666666,14.5,65.0,31.60763304388931,0,0,14
