tasks,ppo_seed,timestep,episode_return,episode_length,instance_seed
20,218,18126,0.33802,42,1036
20,218,18166,0.301739,40,1059
20,218,18204,0.326066,38,1055
20,218,18243,0.271623,39,1010
20,218,18277,0.341813,34,1056
20,218,18313,0.337196,36,1046
20,218,18352,0.256438,39,1035
20,218,18396,0.31579,44,1019
20,218,18435,0.275601,39,1048
20,218,18469,0.313917,34,1002
20,218,18508,0.32583,39,1016
20,218,18552,0.377789,44,1050
20,218,18590,0.303162,38,1051
20,218,18631,0.296847,41,1055
20,218,18669,0.27997,38,1046
20,218,18709,0.373315,40,1027
20,218,18748,0.30239,39,1056
20,218,18788,0.362983,40,1028
20,218,18829,0.324821,41,1049
20,218,18873,0.276334,44,1019
20,218,18909,0.317347,36,1046
20,218,18954,0.2942,45,1001
20,218,18989,0.280366,35,1060
20,218,19025,0.23064,36,1008
20,218,19059,0.327125,34,1006
20,218,19107,0.291654,48,1048
20,218,19154,0.334468,47,1032
20,218,19188,0.204063,34,1034
20,218,19223,0.283304,35,1014
20,218,19267,0.241757,44,1018
20,218,19304,0.225591,37,1003
20,218,19341,0.192978,37,1060
20,218,19379,0.328648,38,1019
20,218,19414,0.221285,35,1051
20,218,19455,0.315836,41,1013
20,218,19494,0.360927,39,1042
20,218,19532,0.324792,38,1016
20,218,19573,0.401996,41,1006
20,218,19604,0.262268,31,1030
20,218,19642,0.327626,38,1014
20,218,19685,0.288446,43,1011
20,218,19724,0.320568,39,1056
20,218,19765,0.351232,41,1058
20,218,19810,0.313226,45,1025
20,218,19853,0.234805,43,1051
20,218,19891,0.301516,38,1034
20,218,19926,0.292718,35,1023
20,218,19965,0.293196,39,1023
20,218,20000,0.177613,35,1022
20,218,20048,0.310771,48,1050
20,218,20079,0.255229,31,1008
20,218,20120,0.30987,41,1048
20,218,20161,0.308348,41,1001
20,218,20199,0.277353,38,1021
20,218,20239,0.23872,40,1029
20,218,20280,0.257343,41,1003
20,218,20321,0.27455,41,1046
20,218,20361,0.287175,40,1052
20,218,20396,0.199955,35,1058
20,218,20432,0.389323,36,1045
20,218,20475,0.247717,43,1005
20,218,20508,0.249062,33,1040
20,218,20547,0.308728,39,1018
20,218,20588,0.396504,41,1006
20,218,20621,0.308985,33,1037
20,218,20661,0.154581,40,1042
20,218,20701,0.286168,40,1058
20,218,20740,0.284154,39,1027
20,218,20774,0.185141,34,1015
20,218,20811,0.2536,37,1019
20,218,20855,0.337872,44,1029
20,218,20889,0.190015,34,1052
20,218,20918,0.229259,29,1060
20,218,20958,0.23541,40,1023
20,218,20993,0.195243,35,1038
20,218,21030,0.379956,37,1041
20,218,21066,0.311652,36,1047
20,218,21105,0.260735,39,1012
20,218,21150,0.300299,45,1005
20,218,21179,0.3066,29,1053
20,218,21217,0.328418,38,1058
20,218,21255,0.228391,38,1048
20,218,21293,0.19296,38,1003
20,218,21325,0.309,32,1023
20,218,21368,0.238875,43,1021
20,218,21401,0.264569,33,1010
20,218,21437,0.300142,36,1037
20,218,21476,0.265894,39,1054
20,218,21516,0.333246,40,1016
20,218,21553,0.325795,37,1055
20,218,21589,0.261224,36,1043
20,218,21622,0.214093,33,1060
20,218,21659,0.313108,37,1001
20,218,21696,0.385926,37,1011
20,218,21730,0.391397,34,1018
20,218,21765,0.431704,35,1026
20,218,21806,0.402455,41,1009
20,218,21839,0.290222,33,1003
20,218,21874,0.392838,35,1043
20,218,21915,0.305979,41,1054
20,218,21952,0.304007,37,1017
20,218,21989,0.3249,37,1045
20,218,22023,0.294189,34,1018
20,218,22058,0.275115,35,1039
20,218,22094,0.312331,36,1019
20,218,22131,0.301301,37,1015
20,218,22164,0.371802,33,1005
20,218,22194,0.322179,30,1026
20,218,22234,0.286769,40,1054
